DJI_0248.JPG
FC6310_8.8_4864x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
-0.236784, -0.00733533, -0.0208535, 0.90279, -0.982192, 1, -0.0143785, -0.0136347, 0.000461308, 0.000621161, 4.09035e-05, -0.00071206, 0.000132526, -0.000817522
-0.15222, -0.0888418, 0.800684, -0.0607056, 0.0224707, -0.0143785, 1, -0.0992074, 0.00669116, 0.00394913, -0.00168174, 0.0194335, -0.00181244, -0.00916172
0.0414033, 0.946523, -0.0793322, -0.00703704, 0.0149687, -0.0136347, -0.0992074, 1, -0.00438188, 7.66342e-05, 7.365e-05, 0.00363245, 0.0142989, 0.0370221
0.000786593, -0.00340221, 0.00826726, 0.00162668, -0.000683864, 0.000461308, 0.00669116, -0.00438188, 1, -0.0225797, -0.00158922, 0.0163534, -0.00883029, -0.1828
0.00916254, 0.000169263, 0.00345201, 0.00213452, -0.000675888, 0.000621161, 0.00394913, 7.66342e-05, -0.0225797, 1, 0.000363983, 0.00256316, 0.0148881, -0.252885
-0.000318518, 0.000263359, -0.00192626, 0.000181441, -8.10437e-05, 4.09035e-05, -0.00168174, 7.365e-05, -0.00158922, 0.000363983, 1, -0.167743, 0.1904, 0.00419347
-0.00534604, 0.00396259, 0.0232714, -0.000986529, 0.00081959, -0.00071206, 0.0194335, 0.00363245, 0.0163534, 0.00256316, -0.167743, 1, -0.178873, -0.0207454
-0.00396503, 0.0139792, -0.00144102, -0.000871935, 3.91838e-05, 0.000132526, -0.00181244, 0.0142989, -0.00883029, 0.0148881, 0.1904, -0.178873, 1, 0.00663832
-0.00950495, 0.0374673, -0.00797655, -0.00209652, 0.00099104, -0.000817522, -0.00916172, 0.0370221, -0.1828, -0.252885, 0.00419347, -0.0207454, 0.00663832, 1
DJI_0255.JPG
FC6310_8.8_4864x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, 0.0328556, -0.393775, -0.237045, 0.270453, -0.236784, -0.15222, 0.0414033, 0.000959944, 0.00923054, -0.00089754, -0.00732501, -0.00517265, -0.00725758
